ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,Ros,+/-,PlayerID,CurrentInFantrax,LastSeen,7d_Trend,7d_Date_Range,7d_FPts,7d_FP_G,7d_GP,7d_Min,7d_G,7d_A,7d_A2,7d_KP,7d_ABS,7d_AOG,7d_AR,7d_ASOP,7d_SOT,7d_TkW,7d_DIS,7d_FC,7d_FS,7d_ErG,7d_YC,7d_RC,7d_Pen,7d_6S,7d_Off,7d_AP,7d_AC,7d_CF,7d_Int,7d_CLO,7d_CoS,7d_BS,7d_AER,7d_BCC,7d_BCM,7d_HT,7d_PKG,7d_PKM,7d_PKD,7d_OG,7d_CSD,7d_CSM,7d_W,RecentTrendAvailable,7d_Sv,7d_CS,7d_GA,7d_PKS,DetailLastFPts,DetailedLastChecked
*05gcr*,Bruno Fernandes,MUN,M,1,200cm,@EVE Sun 11:00PM,49,24.5,100%,0%,05gcr,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,44,44,1,90,3,1,0,3,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,56,4,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,YES,0,0,0,0,49,2026-09-01_05-29-47
*04y92*,Bukayo Saka,ARS,"M,F",3,MPalm,CHE Mon 1:30AM,34,17,100%,0%,04y92,YES,2026-09-01_17-46-31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,0,0,0,0,14,2026-08-30_05-01-48
*05g2o*,Joao Pedro,CHE,"M,F",2,Hoop,@ARS Mon 1:30AM,34,17,100%,0%,05g2o,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,34,17,2,180,2,2,0,4,0,0,0,0,3,1,3,2,5,0,0,0,0,0,0,29,0,1,0,0,5,0,6,1,1,0,0,0,0,1,0,0,2,YES,0,0,0,0,34,2026-09-01_05-29-47
*05l8q*,Cole Palmer,CHE,"M,F",4,Bravo,@ARS Mon 1:30AM,33,16.5,100%,0%,05l8q,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,33,16.5,2,172,2,1,0,5,0,0,0,0,3,1,4,1,3,0,0,0,0,0,1,45,2,1,1,0,5,0,1,1,1,0,0,0,0,0,0,0,2,YES,0,0,0,0,33,2026-09-01_05-29-47
*06v07*,Rayan Cherki,MCI,M,5,Squirtz,COV Sun 12:00AM,32,16,100%,0%,06v07,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,21,21,1,81,2,0,0,3,0,0,0,0,3,0,3,4,0,0,1,0,0,0,0,62,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,YES,0,0,0,0,32,2026-09-01_05-29-47
*062p3*,Keane Lewis-Potter,BRF,"D,M,F",6,TA,SUN Sun 12:00AM,27,13.5,68%,+40%,062p3,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,10,10,1,87,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,41,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,27,2026-09-01_05-29-47
*04fk1*,Pascal Gross,BHA,M,7,Catdog,LEE Sun 12:00AM,25,12.5,99%,0%,04fk1,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,17,17,1,90,1,0,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,55,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,25,2026-09-01_05-29-47
*05uht*,Morgan Rogers,CHE,"M,F",10,007,@ARS Mon 1:30AM,24,12,100%,0%,05uht,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,24,12,2,171,1,1,0,9,0,0,0,0,1,2,2,3,3,0,0,0,0,0,0,29,1,2,0,0,3,0,3,2,0,0,0,0,0,0,0,0,2,YES,0,0,0,0,24,2026-09-01_05-29-47
*0427d*,James Tarkowski,EVE,D,11,Catdog,MUN Sun 11:00PM,24,12,100%,0%,0427d,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,14,14,1,90,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,34,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,24,2026-09-01_05-29-47
*05ogb*,Anthony Elanga,NEW,"M,F",8,Hoop,BOU Sat 9:30PM,24,12,81%,+32%,05ogb,YES,2026-09-01_17-46-31,7-Day,Mon Aug 24 - Sun Aug 30,12,12,1,81,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,YES,0,0,0,0,24,2026-09-01_05-29-47
